<<<<<<< HEAD
file_path,language,nosi,dit,cbo,rfc,loc,comparisonsQty,returnQty,wmc,lcom,totalMethods,loopQty,assignmentsQty,maxNestedBlocks,repo_name,repo_url,commit_sha,source_commit_used,commit_message,defect
src/main/java/org/apache/commons/lang3/AutoCloseables.java,Java,3,2,4,7,44,44,2,12,5,5,0,2,4,commons-lang,https://github.com/apache/commons-lang.git,990e1f62bd3ead86785bdca2312ed6fe8ed7782c,990e1f62bd3ead86785bdca2312ed6fe8ed7782c,Add AutoCloseables (#1643),0
src/main/java/org/apache/commons/lang3/function/FailableConsumer.java,Java,2,2,3,4,26,32,4,3,2,2,0,1,3,commons-lang,https://github.com/apache/commons-lang.git,eb202b0b905ac3bbea742f1aad426f5a6c7d604d,eb202b0b905ac3bbea742f1aad426f5a6c7d604d,"Add FailableConsumer.accept(FailableConsumer<T, E>, T) (#1641)  Add missing test class",0
src/main/java/org/apache/commons/lang3/RandomStringUtils.java,Java,20,1,17,51,294,275,89,84,52,52,3,43,5,commons-lang,https://github.com/apache/commons-lang.git,313d877d57abefdbb1ad0c42781bf719b83d5a35,e63927afd575ba22f41a1d5b23b2d85745e82d24,"Two fixes in RandomStringUtils.random(int, int, int, boolean, boolean, (#1638)  char[], Random)  - A custom chars array throws IllegalArgumentException because validation loops treat the loop index as a char code point instead of an index into the chars array. - random() hangs when the specified [start, end) range contains ONLY rejected code points (UNASSIGNED, PRIVATE_USE, SURROGATE). The loop increments count and retries indefinitely.",1
src/main/java/org/apache/commons/lang3/SystemProperties.java,Java,10,1,7,16,845,1645,420,207,205,205,0,388,4,commons-lang,https://github.com/apache/commons-lang.git,c07bc828f0e208455b3f44345f69414eddf00b2f,8538458e7aeb1455a5942f60fe0b4930da6c5d68,Fix typo in SystemProperties.JDK_XML_ENTITY_REPLACEMENT_LIMIT (#1631)  Fix typo in SystemProperties.JDK_XML_ENTITY_REPLACEMENT_LIMIT.,1
src/main/java/org/apache/commons/lang3/LocaleUtils.java,Java,29,1,37,71,172,168,52,45,22,22,0,38,4,commons-lang,https://github.com/apache/commons-lang.git,3df7f4440e7447bc55e95400ec511323e708c652,3df7f4440e7447bc55e95400ec511323e708c652,"[LANG-1823] LocaleUtils.toLocale cannot parse valid JDK Locale string containing '#'  (#1630)  * Add testLang1641()  * Rename some test methods  * [LANG-1823] LocaleUtils.toLocale cannot parse valid JDK Locale string containing '#' (e.g., from Locale.getAvailableLocales())  -[LANG-879] LocaleUtils test fails with new Locale ""ja_JP_JP_#u-ca-japanese"" of JDK7 - See https://docs.oracle.com/en/java/javase/25/docs/api/java.base/java/util/Locale.html#special_cases_constructor",0
src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Java,125,1,22,176,638,404,185,180,72,72,15,161,6,commons-lang,https://github.com/apache/commons-lang.git,fa59a31596ce37abe09c5f058c6f2e035f7c6677,fa59a31596ce37abe09c5f058c6f2e035f7c6677,[LANG-1821] NumberUtils.isCreatable fails for hexadecimal numbers with long type qualifier (#1629)  * Add testLang1641()  * Rename some test methods  * [LANG-1821] NumberUtils.isCreatable fails for hexadecimal numbers with long type qualifier,0
src/main/java/org/apache/commons/lang3/concurrent/BasicThreadFactory.java,Java,11,1,9,24,112,83,30,22,14,18,0,21,3,commons-lang,https://github.com/apache/commons-lang.git,18d3020de7e62b04212cae5f81bd70a10ffa37f2,18d3020de7e62b04212cae5f81bd70a10ffa37f2,Javadoc  - Better docs for BasicThreadFactory's naming pattern - Use {@code},0
src/main/java/org/apache/commons/lang3/math/NumberUtils.java,Java,125,1,22,174,631,402,184,178,72,72,15,160,6,commons-lang,https://github.com/apache/commons-lang.git,127050d2b54bd6224bc53573228e8774dc7be28b,127050d2b54bd6224bc53573228e8774dc7be28b,"NumberUtils.isCreatable(String) should match NumberUtils.createNumber(String), exactly (#1626)  * Add testLang1641()  * Rename some test methods  * NumberUtils.isCreatable(String) should match NumberUtils.createNumber(String), exactly  Add tests from PR #1623",0
src/main/java/org/apache/commons/lang3/ArchUtils.java,Java,5,1,14,6,68,13,4,16,15,15,0,1,3,commons-lang,https://github.com/apache/commons-lang.git,bb675e1127adb7f7c8d8687667bc11779d8e75eb,23a730b8ed392ba424cc275df793dcae88f4cebe,"Add ""ppc64le"" to ArchUtils (#1625)  * Add testLang1641()  * Rename some test methods  * Add ""ppc64le"" to ArchUtils.  - See https://bugs.gentoo.org/972590   Bug 972590 - dev-java/commons-lang-3.20.0: java.lang.NullPointerException: Cannot invoke ""org.apache.commons.lang3.arch.Processor.toString()"" because ""<local1>"" is null - Like #1624 but with tests",1
src/main/java/org/apache/commons/lang3/concurrent/BackgroundInitializer.java,Java,3,2,15,11,129,83,36,27,14,18,0,10,5,commons-lang,https://github.com/apache/commons-lang.git,23a730b8ed392ba424cc275df793dcae88f4cebe,7138b8c001b9c60176598a21c0d15db43f8d8a1f,No need to end exception messages with an exclamation!,1
src/main/java/org/apache/commons/lang3/concurrent/MultiBackgroundInitializer.java,Java,3,2,11,32,121,116,23,21,11,11,1,11,5,commons-lang,https://github.com/apache/commons-lang.git,23a730b8ed392ba424cc275df793dcae88f4cebe,7138b8c001b9c60176598a21c0d15db43f8d8a1f,No need to end exception messages with an exclamation!,1
